Nome,Endereço,Preço,Link
Ponto de Lavanderia Self-Service na Liberdade,"Liberdade, João Pessoa",R$ 200.000,https://...
Serviço de Lavanderia Comercial e Residencial,Não especificado,R$ 750,https://...
Vendo lavanderia completa,Não especificado,R$ 210.000,https://...
Ponto comercial lavanderia auto completo,Brasília - DF,R$ 130.000,https://...
