Nome,Endereço,Preço,Link
Ponto Comercial - Café e Restaurante,Campinas - SP,R$ 280.000,https://...
Venda de ponto comercial (hamburgueria - lanchonete),Campinas - SP,R$ 68.000,https://...
Vende-se Ponto reformado de Cafeteria na avenida principal de Comércios do Sudoeste,Campinas - SP,Não informado,https://...
Venda de ponto comercial (hamburgueria - lanchonete),Campinas - SP,R$ 68.000,https://...
Ponto Comercial Sorveteria e Cafe Completo,Não informado,R$ 185.000,https://...
